Title,Date,Category,Link
Attorney General Bonta Secures Convictions In ‘Horrific’ Abuse Case In Riverside,"August 1, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-secures-convictions-in-horrific-abuse-case-in-riverside/
"AG Campbell Reaches $2.6M Settlement With Leominster-Based Ambulance Company, MedStar, To Resolve False Billing Allegations","August 1, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-campbell-reaches-26m-settlement-with-leominster-based-ambulance-company-medstar-to-resolve-false-billing-allegations/
Missouri Laboratory Owners Agree To Pay $1.9 Million And Relinquish $7 Million In Escrow In Settlement Of Civil Fraud Claims,"July 31, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/missouri-laboratory-owners-agree-to-pay-19-million-and-relinquish-7-million-in-escrow-in-settlement-of-civil-fraud-claims/
"Martin’s Point Health Care Inc. To Pay $22,485,000 To Resolve False Claims Act Allegations","July 31, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/martins-point-health-care-inc-to-pay-22485000-to-resolve-false-claims-act-allegations/
Decatur Woman Arraigned On Charge Of Embezzlement From A Vulnerable Adult,"July 31, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/decatur-woman-arraigned-on-charge-of-embezzlement-from-a-vulnerable-adult/
Texas Attorney General’s Medicaid Fraud Control Unit Helps Secure 49-Month Sentence and Over $5 Million Restitution in Orthopedic Supplies Fraud Case,"July 31, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/texas-attorney-generals-medicaid-fraud-control-unit-helps-secure-49-month-sentence-and-over-5-million-restitution-in-orthopedic-supplies-fraud-case/
Future Pharmacy Agreed to Be Excluded for Five Years for Allegedly Submitting False Claims for Prescription Medications Not Actually Dispensed,"July 28, 2023",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/future-pharmacy-agreed-to-be-excluded-for-five-years-for-allegedly-submitting-false-claims-for-prescription-medications-not-actually-dispensed/
JJ Pharmacy Agreed to Be Excluded for Five Years for Allegedly Submitting False Claims for Prescription Medications Not Actually Dispensed,"July 28, 2023",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/jj-pharmacy-agreed-to-be-excluded-for-five-years-for-allegedly-submitting-false-claims-for-prescription-medications-not-actually-dispensed/
"Pain Clinic Owner, L5 Medical Holdings Plead Guilty- Agree To Pay $4 Million In Restitution","July 28, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pain-clinic-owner-l5-medical-holdings-plead-guilty-agree-to-pay-4-million-in-restitution/
Maryland Physician Sentenced in Felony Medicaid Fraud Investigation,"July 28, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/maryland-physician-sentenced-in-felony-medicaid-fraud-investigation/
"Texas Attorney General’s Medicaid Fraud Control Unit Helps Dismantle $142 Million Genetic Testing Fraud Scheme, Seizes $7.1M In Assets","July 28, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/texas-attorney-generals-medicaid-fraud-control-unit-helps-dismantle-142-million-genetic-testing-fraud-scheme-seizes-71m-in-assets/
"Lehigh Regional Medical Center Agreed to Pay $50,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide an Appropriate Medical Screening Examination and Stabilizing Treatment","July 27, 2023",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/lehigh-regional-medical-center-agreed-to-pay-50000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-an-appropriate-medical-screening-examination-and-stabilizing-treatment/
"St. Louis Area Doctor, Office Manager Accused of Health Care Fraud","July 27, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texas-and-missouri-physicians-and-medical-practice-agree-to-pay-over-525000-to-settle-kickback-allegations-involving-laboratory-testing/
U.S. Settles Lawsuit Alleging Medical Staffing And Services Companies Defrauded Medicare By Submitting Claims Under The Names Of Doctors Who Did Not Perform The Services,"July 27, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-settles-lawsuit-alleging-medical-staffing-and-services-companies-defrauded-medicare-by-submitting-claims-under-the-names-of-doctors-who-did-not-perform-the-services/
Pharmacy Owner Convicted Of Payment Of Illegal Kickbacks And Money Laundering,"July 27, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-convicted-of-payment-of-illegal-kickbacks-and-money-laundering/
Licensed Nursing Assistant Nicole Ferry Indicted For Stealing Money From And Forging Checks Belonging To Elderly Patient,"July 27, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/licensed-nursing-assistant-nicole-ferry-indicted-for-stealing-money-from-and-forging-checks-belonging-to-elderly-patient/
"Lansing-Area Health System Agrees To Pay $671,300 To Settle False Claims Act Allegations Relating To Improper Billing","July 26, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/lansing-area-health-system-agrees-to-pay-671300-to-settle-false-claims-act-allegations-relating-to-improper-billing/
Doctor Convicted of Unlawfully Distributing Opioids,"July 26, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-convicted-of-unlawfully-distributing-opioids/
"Bridges MN Agreed to Pay $150,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","July 25, 2023",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/bridges-mn-agreed-to-pay-150000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Thomas Jefferson University to Pay $2.7 Million to Resolve Allegations of Improper Use and Retention of Federal Student Loan Funds,"July 25, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/thomas-jefferson-university-to-pay-27-million-to-resolve-allegations-of-improper-use-and-retention-of-federal-student-loan-funds/
Reading Owner Of Telemedicine Companies Charged With $44 Million Medicare Fraud Scheme,"July 24, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/reading-owner-of-telemedicine-companies-charged-with-44-million-medicare-fraud-scheme/
"Suburban Chicago Doctor and His Surgical Center To Pay More Than $750,000 To Settle False Claims Act Suit","July 21, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/suburban-chicago-doctor-and-his-surgical-center-to-pay-more-than-750000-to-settle-false-claims-act-sui/
Team Rehabilitation Services Agreed to Pay $12.2 Million for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Were Not Reimbursable and Services that Did Not Meet the Requirements of Time-Based Codes,"July 21, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/team-rehabilitation-services-agreed-to-pay-122-million-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-that-were-not-reimbursable-and-services-that-did-not-meet-the-requirements-of-time-based-codes/
"Missouri And Texas Physicians And Medical Practices Agree To Pay Over $525,000 To Settle Kickback Allegations Involving Laboratory Testing","July 20, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/missouri-and-texas-physicians-and-medical-practices-agree-to-pay-over-525000-to-settle-kickback-allegations-involving-laboratory-testing/
Attorney General Ellison’s Office Charges Former Police Officer With Financially Exploiting Vulnerable Adult,"July 20, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ellisons-office-charges-former-police-officer-with-financially-exploiting-vulnerable-adult/
Pain Management Physician's Assistant Charged In Amniotic Fluid Scam,"July 19, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pain-management-physicians-assistant-charged-in-amniotic-fluid-scam/
Attorney General Alan Wilson Announces Spartanburg Cousins Arrested For Stealing From Assisted Living Home Residents,"July 19, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-spartanburg-cousins-arrested-for-stealing-from-assisted-living-home-residents/
Kansas Chiropractor Pleads Guilty To Money Laundering,"July 18, 2023",COVID-19,https://oig.hhs.gov/fraud/enforcement/kansas-chiropractor-pleads-guilty-to-money-laundering/
Justice Department Files False Claims Act Complaint Against Laboratory Companies And Their Owner,"July 18, 2023",COVID-19,https://oig.hhs.gov/fraud/enforcement/justice-department-files-false-claims-act-complaint-against-laboratory-companies-and-their-owner/
Texas Lawyer Convicted Of Conspiracy And Perjury,"July 17, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texas-lawyer-convicted-of-conspiracy-and-perjury/
Suburban Chicago Physician Sentenced To Federal Prison For Prescribing Opioids Without A Medical Exam,"July 17, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/suburban-chicago-physician-sentenced-to-federal-prison-for-prescribing-opioids-without-a-medical-exam/
Two Men Plead Guilty To $67M Medicare Fraud Scheme,"July 17, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-men-plead-guilty-to-67m-medicare-fraud-scheme/
Attorney General Alan Wilson Announces Aiken Woman Arrested For Forgery & Exploitation Of Assisted Living Facility Resident,"July 17, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-aiken-woman-arrested-for-forgery-exploitation-of-assisted-living-facility-resident/
"Knoxville Man Sentenced To 24 Months In Prison And Ordered To Repay $411,963 For Health Care Fraud Scheme","July 14, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/knoxville-man-sentenced-to-24-months-in-prison-and-ordered-to-repay-411963-for-health-care-fraud-scheme/
"Electronic Health Records Vendor Nextgen Healthcare, Inc. To Pay $31 Million To Settle False Claims Act Allegations","July 14, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/electronic-health-records-vendor-nextgen-healthcare-inc-to-pay-31-million-to-settle-false-claims-act-allegations/
"Alton Memorial Hospital Agreed to Pay $147,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","July 14, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/alton-memorial-hospital-agreed-to-pay-147000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual-by-employing-an-excluded-individual/
"Bridges Aid Services Agreed to Pay $40,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","July 13, 2023",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/bridges-aid-services-agreed-to-pay-40000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Owner Of Health Care Company Pleads Guilty To Federal Charge For Conspiracy To Commit Health Care Fraud,"July 13, 2023",COVID-19,https://oig.hhs.gov/fraud/enforcement/owner-of-health-care-company-pleads-guilty-to-federal-charge-for-conspiracy-to-commit-health-care-fraud/
Dermatologist Agrees To Pay $6.6 Million To Settle Allegations Of Fraudulent Billing Practices,"July 13, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/dermatologist-agrees-to-pay-66-million-to-settle-allegations-of-fraudulent-billing-practices/
"AU Medical Center Agreed to Pay $528,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Individual Excluded from South Carolina Medicaid and an Individual Excluded from Participation in Federal Health Care Programs","July 13, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/au-medical-center-agreed-to-pay-528000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-individual-excluded-from-south-carolina-medicaid-and-an-individual-excluded-from-participation-in-federal-health-care-programs/
Attorney General Cameron Announces Indictment Of Louisville Woman For Medicaid Fraud,"July 13, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-cameron-announces-indictment-of-louisville-woman-for-medicaid-fraud/
Middle District Of Florida Task Force Continues To Combat COVID-19 Fraud,"July 12, 2023",COVID-19,https://oig.hhs.gov/fraud/enforcement/middle-district-of-florida-task-force-continues-to-combat-covid-19-fraud/
Diversicare And Two Occupational Therapy Assistants To Pay Over $1.3 Million To Resolve False Claims Act Allegations,"July 12, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/diversicare-and-two-occupational-therapy-assistants-to-pay-over-13-million-to-resolve-false-claims-act-allegations/
Arizona Attorney General’s Office Announces Sentencing Of Nurse Imposter,"July 12, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/arizona-attorney-generals-office-announces-sentencing-of-nurse-imposter/
"California Doctor And Medical Practice Agree To Pay $11.4 Million To Resolve False Claims Act Allegations Relating To Skin Biopsies, Spine Surgeries, And Urine Drug Testing","July 11, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/california-doctor-and-medical-practice-agree-to-pay-114-million-to-resolve-false-claims-act-allegations-relating-to-skin-biopsies-spine-surgeries-and-urine-drug-testing/
Attorney General Bonta Announces $11.4 Million Settlement Against Owner Of Pain Clinics For Medi-Cal Fraud,"July 11, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-announces-114-million-settlement-against-owner-of-pain-clinics-for-medi-cal-fraud/
Attorney General James Announces Indictment And Arraignment Of Owner And Manager Of New York City Pharmacy For Allegedly Stealing Millions From Medicaid,"July 11, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-indictment-and-arraignment-of-owner-and-manager-of-new-york-city-pharmacy-for-allegedly-stealing-millions-from-medicaid/
"Ascension Macomb Oakland Hospital Agreed to Pay $100,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Free Staff","July 10, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/ascension-macomb-oakland-hospital-agreed-to-pay-100000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-free-staff/
"Lakeview Healthcare System Agreed to Pay $117,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","July 10, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/lakeview-healthcare-system-agreed-to-pay-117000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Orthopaedic and Sports Medicine Center Norman and Five Physicians Agreed to Pay $267,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Drugs Obtained from Foreign Sources","July 10, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/orthopaedic-and-sports-medicine-center-norman-and-five-physicians-agreed-to-pay-267000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-drugs-obtained-from-foreign-sources/
Daughter And Husband Charged With Neglect Of Chester County Woman Who Died In July 2021,"July 10, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/daughter-and-husband-charged-with-neglect-of-chester-county-woman-who-died-in-july-2021/
"Francis Lagattuta, MD Agreed to Be Excluded for 5 Years for Allegedly Submitting Claims for Medically Unnecessary Skin Biopsies, Spine Surgeries, and Urine Drug Testing","July 7, 2023",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/francis-lagattuta-md-agreed-to-be-excluded-for-5-years-for-allegedly-submitting-claims-for-medically-unnecessary-skin-biopsies-spine-surgeries-and-urine-drug-testing/
"Dothan Man Sentenced For Federal Tax Evasion, Mail Fraud, And Drug Charges","July 7, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/dothan-man-sentenced-for-federal-tax-evasion-mail-fraud-and-drug-charges/
Health Connect America Fined Over $4.6 Million For Improper Billing Practices,"July 7, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/health-connect-america-fined-over-46-million-for-improper-billing-practices/
Ocean County Man Admits $21.7 Million Health Care Fraud Scheme And COVID-19 Wire Fraud Scheme,"June 30, 2023",COVID-19,https://oig.hhs.gov/fraud/enforcement/ocean-county-man-admits-217-million-health-care-fraud-scheme-and-covid-19-wire-fraud-scheme/
"Two Texas Medical Practices To Pay More Than $500,000 To Resolve False Claims Act Liability For Fraudulently Billing Medicare For P-Stim Devices","June 30, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-texas-medical-practices-to-pay-more-than-500000-to-resolve-false-claims-act-liability-for-fraudulently-billing-medicare-for-p-stim-devices/
"Aurum Institute Agreed to Pay $28,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Unallowable Salary Costs to a PEPFAR Award","June 30, 2023",Grant and Contractor Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/aurum-institute-agreed-to-pay-28000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-unallowable-salary-costs-to-a-pepfar-award/
Attorney General Moody Announces Arrest Of Skilled Nursing Facility Office Manager For Grand Theft,"June 30, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-moody-announces-arrest-of-skilled-nursing-facility-office-manager-for-grand-theft/
Attorney General Ford Announces Sentencing of Health Care Provider and Owner in Medicaid Fraud Case,"June 30, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ford-announces-sentencing-of-health-care-provider-and-owner-in-medicaid-fraud-case/
"Central Coast County Organized Health System, Three Health Care Providers Agree To Pay $68M For Alleged False Claims To Medi-Cal","June 29, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/central-coast-county-organized-health-system-three-health-care-providers-agree-to-pay-68m-for-alleged-false-claims-to-medi-cal/
U.S. Attorney Josh Hurwit Office Participates In Coordinated National Health Care Fraud Enforcement Action,"June 29, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-josh-hurwit-office-participates-in-coordinated-national-health-care-fraud-enforcement-action/
South Carolina Participates In National Enforcement Action Resulting In 78 Individuals Charged For $2.5B In Health Care Fraud,"June 29, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/south-carolina-participates-in-national-enforcement-action-resulting-in-78-individuals-charged-for-25b-in-health-care-fraud/
"United States Settles False Claims Allegations Against Evergreen Hospice, LLC For $48,830","June 29, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-settles-false-claims-allegations-against-evergreen-hospice-llc-for-48830/
California County Organized Health System And Three Health Care Providers Agree To Pay $68 Million For Alleged False Claims To California’s Medicaid Program,"June 29, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/california-county-organized-health-system-and-three-health-care-providers-agree-to-pay-68-million-for-alleged-false-claims-to-californias-medicaid-program/
"Ascension St. Vincent’s Birmingham Agreed to Pay $100,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Free Office Space","June 29, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/ascension-st-vincents-birmingham-agreed-to-pay-100000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-free-office-space/
Attorney General Bonta Announces $68 Million Settlement Against Four Health Care Providers For Medi-Cal Fraud,"June 29, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-announces-68-million-settlement-against-four-health-care-providers-for-medi-cal-fraud/
West Hartford Woman Charged With Medicaid Fraud,"June 29, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/west-hartford-woman-charged-with-medicaid-fraud/
"Attorney General Moody Announces Arrest Of Disabled Care Provider For More Than $11,000 In Medicaid Fraud","June 29, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-moody-announces-arrest-of-disabled-care-provider-for-more-than-11000-in-medicaid-fraud/
Texas Attorney General’s Medicaid Fraud Control Unit Helps Take Down $6.9 Million Medicaid Fraud Scheme,"June 29, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/texas-attorney-generals-medicaid-fraud-control-unit-helps-take-down-69-million-medicaid-fraud-scheme/
Woman Charged With COVID-19 Card Fraud,"June 28, 2023",COVID-19,https://oig.hhs.gov/fraud/enforcement/woman-charged-with-covid-19-card-fraud/
U.S. Attorney Duane A. Evans Announces Participation In National Enforcement Action Results In 78 Individuals Charged For $2.5B In Health Care Fraud,"June 28, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-duane-a-evans-announces-participation-in-national-enforcement-action-results-in-78-individuals-charged-for-25b-in-health-care-fraud/
U.S. Attorney Breon Peace Announces Two Arrests In Coordinated National Health Care Fraud Enforcement Action,"June 28, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-breon-peace-announces-two-arrests-in-coordinated-national-health-care-fraud-enforcement-action/
United States Attorney Vanessa R. Waldref Announces Eastern District Of Washington’s Participation In Coordinated National Health Care Fraud Enforcement Action,"June 28, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/united-states-attorney-vanessa-r-waldref-announces-eastern-district-of-washingtons-participation-in-coordinated-national-health-care-fraud-enforcement-action/
U.S. Attorney Markenzy Lapointe Announces Participation In Coordinated National Health Care Fraud Enforcement Action,"June 28, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-markenzy-lapointe-announces-participation-in-coordinated-national-health-care-fraud-enforcement-action/
U.S. Attorney Merrick B. Garland Announces Participation In Coordinated National Health Care Fraud Enforcement Action,"June 28, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-merrick-b-garland-announces-participation-in-coordinated-national-health-care-fraud-enforcement-action/
National Enforcement Action Results In 78 Individuals Charged For $2.5B In Health Care Fraud,"June 28, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/national-enforcement-action-results-in-78-individuals-charged-for-25b-in-health-care-fraud/
Attorney General Todd Rokita Oversees Eight Investigations Leading To Charges As Part Of Nationwide Healthcare Fraud Takedown,"June 28, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-todd-rokita-oversees-eight-investigations-leading-to-charges-as-part-of-nationwide-healthcare-fraud-takedown/
Attorney General Dana Nessel Charges Delta County Woman With 9 Counts of Medicaid Fraud,"June 28, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-dana-nessel-charges-delta-county-woman-with-9-counts-of-medicaid-fraud/
Attorney General James Sues Owners And Operators Of Four Nursing Homes For Financial Fraud And Resident Neglect,"June 28, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-sues-owners-and-operators-of-four-nursing-homes-for-financial-fraud-and-resident-neglect/
Redondo Beach Woman Found Guilty Of Leading $24 Million Scam That Billed Medicare For Unnecessary Medical Equipment And Repairs,"June 27, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/redondo-beach-woman-found-guilty-of-leading-24-million-scam-that-billed-medicare-for-unnecessary-medical-equipment-and-repairs/
"Substance Use Recovery Center Agrees To Pay $300,000 To Resolve Alleged False Claims Act Violations","June 27, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/substance-use-recovery-center-agrees-to-pay-300000-to-resolve-alleged-false-claims-act-violations/
Father And Son Guilty In $21 Million Medicare Fraud Scheme,"June 27, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/father-and-son-guilty-in-21-million-medicare-fraud-scheme/
Surgery Center at Health Park Agreed to Pay $1.1 Million for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Ownership Shares,"June 27, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/surgery-center-at-health-park-agreed-to-pay-11-million-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-ownership-shares/
"Mustapha Kibirige, MD, Mustapha Kibirige MD PA, Outreach Diagnostic Clinic and Outreach Eyecare Were Excluded for Defaulting on Payment Obligations","June 26, 2023",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/mustapha-kibirige-md-mustapha-kibirige-md-pa-outreach-diagnostic-clinic-and-outreach-eyecare-were-excluded-for-defaulting-on-payment-obligations/
Pharmacist Convicted Of Stealing And Selling COVID-19 Cards,"June 26, 2023",COVID-19,https://oig.hhs.gov/fraud/enforcement/pharmacist-convicted-of-stealing-and-selling-covid-19-cards/
Brookfield Counselor Sentenced To 30 Months In Federal Prison For Defrauding Medicaid Of More Than $1 Million,"June 26, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/brookfield-counselor-sentenced-to-30-months-in-federal-prison-for-defrauding-medicaid-of-more-than-1-million/
Winchester Man And Former Medical Device Sales Rep Arrested For Defrauding Boston Hospital And Lying To Federal Authorities,"June 26, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/winchester-man-and-former-medical-device-sales-rep-arrested-for-defrauding-boston-hospital-and-lying-to-federal-authorities/
Physician Assistant Admits To Unlawful Practice Of Medicine,"June 26, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/physician-assistant-admits-to-unlawful-practice-of-medicine/
"Attorney General Cameron Announces Indictment Of Perry County Man For Abuse Of Adults, Related Charges","June 26, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-cameron-announces-indictment-of-perry-county-man-for-abuse-of-adults-related-charges/
"Garfield Park Behavioral Hospital Agreed to Pay $85,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Individual Excluded from Illinois Medicaid","June 23, 2023",CIA Reportable Events,https://oig.hhs.gov/fraud/enforcement/garfield-park-behavioral-hospital-agreed-to-pay-85000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-individual-excluded-from-illinois-medicaid/
"Hartgrove Behavioral Health System Agreed to Pay $735,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Individual Excluded from Illinois Medicaid","June 23, 2023",CIA Reportable Events,https://oig.hhs.gov/fraud/enforcement/hartgrove-behavioral-health-system-agreed-to-pay-735000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-individual-excluded-from-illinois-medicaid/
"CHI Health Creighton University Medical Center - Bergan Mercy Agreed to Pay $60,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide an Appropriate Medical Screening Examination and Stabilizing Treatment","June 23, 2023",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/chi-health-creighton-university-medical-center-bergan-mercy-agreed-to-pay-60000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-an-appropriate-medical-screening-examination-and-stabilizing-treatment/
"CHI Health Lakeside Agreed to Pay $80,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide an Appropriate and Timely Medical Screening Examination","June 23, 2023",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/chi-health-lakeside-agreed-to-pay-80000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-an-appropriate-and-timely-medical-screening-examination/
Inland Empire Skilled Nursing Facility And Management Company Agree To Pay $3.8M To Settle Allegations Of Kickbacks To Doctors,"June 23, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/inland-empire-skilled-nursing-facility-and-management-company-agree-to-pay-38m-to-settle-allegations-of-kickbacks-to-doctors/
San Jose Doctor Convicted Of Twelve Counts Of Illegally Prescribing Opioids,"June 23, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/san-jose-doctor-convicted-of-twelve-counts-of-illegally-prescribing-opioids/
Doctor Convicted Of Illegally Distributing Opioids And Other Drugs,"June 23, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-convicted-of-illegally-distributing-opioids-and-other-drugs/
Attorney General Cameron Announces Investigation By His Office Leads To Indictment Of Scott County Man For Medicaid Fraud,"June 23, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-cameron-announces-investigation-by-his-office-leads-to-indictment-of-scott-county-man-for-medicaid-fraud/
